Key,comment,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id,
PluginName,Plugin display name,拡張ペンツール,Extended Pen Tool,扩展画笔工具,擴充筆工具,확장 펜 도구,Herramienta de Pluma Extendida,أداة القلم الموسعة,Alat Pena Ekstensi,
SettingsName,Settings display name,拡張ペンツール,Extended Pen Tool,扩展画笔工具,擴充筆工具,확장 펜 도구,Herramienta de Pluma Extendida,أداة القلم الموسعة,Alat Pena Ekstensi,
OpenPenToolButton,Open pen tool button text,ペンツールで編集,Edit with Pen Tool,用画笔工具编辑,使用筆工具編輯,펜 도구로 편집,Editar con la herramienta de pluma,تحرير باستخدام أداة القلم,Edit dengan Alat Pena,
EditWithPenToolName,Display name: edit button parameter,ペンツールで編集,Edit with Pen Tool,用画笔工具编辑,使用筆工具編輯,펜 도구로 편집,Editar con la herramienta de pluma,تحرير باستخدام أداة القلم,Edit dengan Alat Pena,
EditWithPenToolDescription,Display description: edit button parameter,拡張ペンツールウィンドウを開いて描画を編集します。,Open the Extended Pen Tool window to edit drawings.,打开扩展画笔工具窗口以编辑绘图。,開啟擴充筆工具視窗以編輯繪圖。,확장 펜 도구 창을 열어 그리기를 편집합니다.,Abra la ventana de la herramienta de pluma extendida para editar dibujos.,افتح نافذة أداة القلم الموسعة لتحرير الرسومات.,Buka jendela Alat Pena Ekstensi untuk mengedit gambar.,
ThicknessName,Display name: thickness,太さ,Thickness,粗细,粗細,굵기,Grosor,السُمك,Ketebalan,
ThicknessDescription,Display description: thickness,描画全体の太さを変更します。,Change the overall thickness of the drawing.,更改整幅绘图的粗细。,變更整體繪圖的粗細。,그림 전체의 두께를 변경합니다.,Cambia el grosor general del dibujo.,غيّر سُمك الرسم بالكامل.,Ubah ketebalan keseluruhan gambar.,
LengthName,Display name: length,長さ,Length,长度,長度,길이,Longitud,الطول,Panjang,
LengthDescription,Display description: length,描画のアニメーション（始点から終点まで）を制御します。,Control drawing animation (from start point to end point).,控制绘图动画（从起点到终点）。,控制繪圖動畫（從起點到終點）。,그리기 애니메이션(시작점부터 끝점까지)을 제어합니다.,Controla la animación del dibujo (del punto inicial al final).,تحكم في حركة الرسم (من نقطة البداية إلى النهاية).,Kontrol animasi gambar (dari titik awal ke titik akhir).,
OffsetName,Display name: offset,オフセット,Offset,偏移,偏移,오프셋,Desplazamiento,الإزاحة,Offset,
OffsetDescription,Display description: offset,描画開始位置をずらします。,Shift the drawing start position.,偏移绘制起始位置。,偏移繪製起始位置。,그리기 시작 위치를 이동합니다.,Desplaza la posición inicial del dibujo.,أزِح موضع بدء الرسم.,Geser posisi awal gambar.,
LayerDefaultName,Default layer name base,レイヤー,Layer,图层,圖層,레이어,Capa,طبقة,Layer,
LayerDefaultNew,Default new layer name,新規レイヤー,New Layer,新建图层,新增圖層,새 레이어,Nueva capa,طبقة جديدة,Layer Baru,
LayerPropertyTitle,Layer properties window title,レイヤープロパティ,Layer Properties,图层属性,圖層屬性,레이어 속성,Propiedades de capa,خصائص الطبقة,Properti Layer,
LayerOpacityLabel,Layer opacity label,不透明度:,Opacity:,不透明度:,不透明度:,불투명도:,Opacidad:,العتامة:,Opasitas:,
Cancel,Cancel button text,キャンセル,Cancel,取消,取消,취소,Cancelar,إلغاء,Batal,
